scraping_date,book_title,category,price,rating,instock,availability,UPC,link
2022-12-20,It's Only the Himalayas,Travel,Â£45.17,2,In stock,19,a22124811bfa8350,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
2022-12-20,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,Â£49.43,4,In stock,15,ce60436f52c5ee68,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
2022-12-20,See America: A Celebration of Our National Parks & Treasured Sites,Travel,Â£48.87,3,In stock,14,f9705c362f070608,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
2022-12-20,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,Â£36.94,2,In stock,8,1809259a5a5f1d8d,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
2022-12-20,Under the Tuscan Sun,Travel,Â£37.33,3,In stock,7,a94350ee74deaa07,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html
2022-12-20,A Summer In Europe,Travel,Â£44.34,2,In stock,7,cc1936a9f4e93477,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html
2022-12-20,The Great Railway Bazaar,Travel,Â£30.54,1,In stock,6,48736df57e7bec9f,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html
2022-12-20,A Year in Provence (Provence #1),Travel,Â£56.88,4,In stock,6,9e60929f521fa280,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html
2022-12-20,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,Â£23.21,1,In stock,3,366a236aa1ea6f07,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
2022-12-20,Neither Here nor There: Travels in Europe,Travel,Â£38.95,3,In stock,3,747cf7fca2ccdbd4,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html
2022-12-20,"1,000 Places to See Before You Die",Travel,Â£26.08,5,In stock,1,228ba5e7577e1d49,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html
2022-12-20,Sharp Objects,Mystery,Â£47.82,4,In stock,20,e00eb4fd7b871a48,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
